iter	Passed	Remaining
333	490123	977312
334	491096	974862
335	492081	972447
336	493068	970043
337	494047	967632
338	495024	965224
339	495996	962815
340	496989	960457
341	498006	958152
342	498971	955756
343	499926	953348
344	500921	951025
345	501918	948713
346	502927	946431
347	503901	944091
348	504914	941832
349	505904	939536
350	506890	937242
351	507871	934946
352	508827	932610
353	509779	930276
354	510767	928014
355	511738	925729
356	512737	923502
357	513688	921194
358	514656	918927
359	515657	916724
360	516613	914448
361	517584	912206
362	518578	910013
363	519537	907763
364	520506	905538
365	521468	903308
366	522428	901082
367	523433	898939
368	524412	896759
369	525377	894562
370	526343	892371
371	527317	890202
372	528304	888060
373	529368	886055
374	530495	884159
375	531571	882182
376	532571	880084
377	533605	878049
378	534598	875951
379	535636	873932
380	536672	871916
381	537727	869936
382	538684	867802
383	539649	865687
384	540610	863572
385	541576	861471
386	542528	859353
387	543622	857467
388	544719	855588
389	545964	853943
390	547362	852542
391	549100	851666
392	550221	849833
393	551261	847879
394	552227	845816
395	553213	843790
396	554202	841774
397	555178	839741
398	556180	837755
399	557160	835741
400	558137	833726
401	559111	831712
402	560108	829739
403	561104	827768
404	562187	825929
405	563254	824071
406	564272	822146
407	565311	820255
408	566350	818369
409	567369	816458
410	568404	814575
411	569406	812647
412	570384	810692
413	571457	808874
414	572546	807083
415	573596	805241
416	574668	803433
417	575685	801553
418	576728	799711
419	577720	797804
420	578715	795905
421	579690	793983
422	580640	792032
423	581599	790097
424	582590	788210
425	583559	786299
426	584557	784430
427	585513	782508
428	586488	780617
429	587488	778763
430	588492	776919
431	589641	775269
432	590851	773701
433	592026	772090
434	593175	770446
435	594247	768705
436	595257	766887
437	596214	765006
438	597176	763134
439	598131	761257
440	599099	759403
441	600053	757533
442	601061	755736
443	602146	754039
444	603161	752257
445	604100	750385
446	605055	748535
447	606005	746685
448	606977	744865
449	607989	743097
450	609034	741374
451	610026	739589
452	610990	737773
453	611966	735976
454	612948	734191
455	613937	732416
456	614912	730628
457	615879	728835
458	616843	727041
459	617840	725291
460	618824	723527
461	619782	721738
462	620749	719962
463	621806	718294
464	622877	716644
465	623881	714920
466	624882	713195
467	625986	711590
468	627334	710265
469	628835	709112
470	629964	707539
471	631050	705921
472	632229	704408
473	633488	702985
474	634671	701479
475	635824	699941
476	636906	698327
477	637938	696660
478	638912	694933
479	639977	693308
480	641062	691708
481	642132	690092
482	643239	688519
483	644323	686923
484	645318	685235
485	646292	683527
486	647271	681828
487	648232	680112
488	649271	678482
489	650797	677360
490	652136	676043
491	653517	674769
492	654904	673502
493	656056	671992
494	657110	670385
495	658145	668760
496	659226	667185
497	660250	665553
498	661261	663912
499	662308	662308
500	663356	660708
501	664423	659129
502	665447	657510
503	666459	655880
504	667470	654252
505	668565	652710
506	669664	651172
507	670664	649540
508	671771	648015
509	672821	646435
510	673909	644895
511	674899	643263
512	675934	641677
513	677006	640126
514	678076	638577
515	679105	636990
516	680106	635379
517	681116	633780
518	682128	632184
519	683338	630773
520	684484	629305
521	685596	627806
522	686704	626305
523	687863	624853
524	689102	623473
525	690284	622043
526	691418	620571
527	692771	619295
528	694006	617915
529	695168	616469
530	696358	615050
531	697461	613556
532	698614	612106
533	699684	610585
534	700674	608997
535	701819	607545
536	702919	606055
537	703995	604546
538	705144	603101
539	706207	601583
540	707219	600025
541	708189	598433
542	709227	596900
543	711584	596475
544	713369	595565
545	714387	594014
546	716258	593172
547	718038	592250
548	719040	590687
549	720040	589123
550	721067	587584
551	722094	586048
552	723102	584496
553	724146	582977
554	725128	581409
555	726138	579865
556	727110	578294
557	728035	576687
558	728968	575089
559	729936	573521
560	730913	571962
561	731886	570402
562	732826	568818
563	733754	567228
564	734675	565635
565	735655	564089
566	736626	562538
567	737594	560986
568	738532	559415
569	739508	557874
570	740563	556395
571	741589	554895
572	742604	553389
573	743612	551879
574	744593	550351
575	745554	548810
576	746678	547391
577	747886	546034
578	749071	544661
579	750250	543285
580	751516	541971
581	752559	540498
582	753595	539020
583	754577	537507
584	755608	536029
585	756596	534523
586	757556	532999
587	758538	531492
588	759541	530002
589	760512	528491
590	761534	527017
591	762481	525493
592	763404	523955
593	764332	522422
594	765276	520902
595	766246	519401
596	767202	517893
597	768126	516365
598	769100	514873
599	770191	513460
600	771554	512230
601	772648	510820
602	773645	509348
603	774603	507852
604	775559	506356
605	776499	504853
606	777484	503379
607	778482	501916
608	779432	500423
609	780371	498925
610	781343	497451
611	782295	495965
612	783230	494470
613	784223	493013
614	785222	491562
615	786244	490126
616	787370	488756
617	788445	487355
618	789464	485922
619	790449	484468
620	791379	482983
621	792317	481504
622	793260	480030
623	794220	478568
624	795164	477098
625	796136	475647
626	797124	474206
627	798072	472743
628	799060	471305
629	800013	469849
630	800988	468406
631	801986	466979
632	802979	465550
633	803937	464102
634	804875	462644
635	805837	461202
636	806784	459753
637	807726	458302
638	808678	456859
639	809650	455428
640	810600	453987
641	811586	452567
642	812533	451126
643	813480	449687
644	814433	448253
645	815375	446815
646	816344	445393
647	817308	443970
648	818237	442528
649	819175	441094
650	820106	439657
651	821038	438222
652	822006	436808
653	822979	435399
654	823910	433968
655	824828	432531
656	825797	431124
657	826772	429720
658	827719	428303
659	828662	426886
660	829709	425524
661	830694	424130
662	831695	422747
663	832740	421386
664	833713	419990
665	834707	418607
666	835676	417211
667	836642	415816
668	837597	414416
669	838522	413003
670	839448	411592
671	840389	410190
672	841337	408792
673	842275	407391
674	843215	405992
675	844167	404600
676	845108	403205
677	846131	401850
678	847154	400495
679	848091	399101
680	849046	397718
681	849986	396328
682	850903	394928
683	851845	393542
684	852781	392154
685	853714	390767
686	854647	389380
687	855591	388000
688	856557	386631
689	857484	385246
690	858446	383878
691	859372	382495
692	860321	381123
693	861263	379750
694	862202	378376
695	863159	377012
696	864088	375636
697	865052	374277
698	865981	372904
699	867049	371592
700	868003	370232
701	868930	368862
702	869872	367499
703	870813	366137
704	871919	364845
705	873090	363581
706	874176	362282
707	875219	360966
708	876224	359635
709	877226	358303
710	878238	356977
711	879229	355643
712	880182	354294
713	881120	352941
714	882104	351607
715	883033	350253
716	883963	348900
717	884893	347548
718	885845	346206
719	886792	344863
720	887767	343532
721	888708	342189
722	889977	340973
723	891301	339778
724	892587	338567
725	893732	337303
726	894904	336050
727	896108	334809
728	897263	333550
729	898383	332278
730	899473	330996
731	900592	329725
732	901676	328441
733	902655	327120
734	903663	325810
735	904655	324495
736	905611	323169
737	906562	321841
738	907481	320504
739	908411	319171
740	909395	317859
741	910337	316532
742	911304	315215
743	912271	313899
744	913207	312574
745	914150	311252
746	915078	309926
747	916016	308604
748	916950	307282
749	917886	305962
750	918846	304650
751	919772	303329
752	920756	302027
753	921735	300725
754	922662	299407
755	923587	298088
756	924520	296774
757	925445	295458
758	926400	294153
759	927325	292839
760	928285	291537
761	929231	290232
762	930189	288931
763	931131	287626
764	932077	286324
765	933010	285018
766	933936	283712
767	934866	282407
768	935813	281109
769	936789	279820
770	937734	278522
771	938685	277228
772	939613	275927
773	940567	274635
774	941491	273336
775	942437	272043
776	943378	270750
777	944325	269460
778	945297	268178
779	946302	266905
780	947231	265612
781	948176	264325
782	949151	263047
783	950223	261796
784	951193	260518
785	952311	259280
786	953392	258033
787	954357	256756
788	955357	255488
789	956399	254232
790	957357	252955
791	958317	251679
792	959282	250405
793	960242	249130
794	961202	247857
795	962202	246594
796	963148	245318
797	964097	244044
798	965052	242772
799	966020	241505
800	966976	240235
801	967938	238967
802	968896	237699
803	969829	236426
804	970787	235159
805	971778	233902
806	972721	232633
807	973653	231363
808	974612	230100
809	975560	228835
810	976534	227577
811	977471	226311
812	978441	225053
813	979449	223805
814	980546	222577
815	981962	221423
816	983010	220184
817	983998	218933
818	984980	217681
819	985982	216435
820	986965	215184
821	987950	213935
822	988946	212689
823	990047	211466
824	991037	210220
825	991984	208965
826	992925	207710
827	993888	206459
828	994868	205214
829	995811	203961
830	996751	202708
831	997702	201459
832	998639	200207
833	999585	198958
834	1000555	197714
835	1001496	196465
836	1002458	195221
837	1003432	193980
838	1004390	192737
839	1005319	191489
840	1006288	190249
841	1007260	189010
842	1008191	187765
843	1009177	186530
844	1010220	185306
845	1011192	184070
846	1012205	182842
847	1013186	181608
848	1014123	180368
849	1015074	179130
850	1016039	177896
851	1016965	176656
852	1017892	175416
853	1018823	174178
854	1019764	172942
855	1020727	171711
856	1021677	170478
857	1022625	169245
858	1023570	168013
859	1024501	166779
860	1025444	165547
861	1026394	164318
862	1027324	163086
863	1028284	161859
864	1029218	160629
865	1030190	159405
866	1031125	158177
867	1032089	156953
868	1033020	155725
869	1033959	154499
870	1034885	153272
871	1035856	152052
872	1036850	150836
873	1037798	149613
874	1038755	148393
875	1039692	147171
876	1040630	145949
877	1041614	144734
878	1042623	143523
879	1043599	142309
880	1044543	141090
881	1045473	139870
882	1046415	138653
883	1047360	137436
884	1048305	136220
885	1049233	135002
886	1050189	133789
887	1051121	132573
888	1052082	131362
889	1053026	130149
890	1053959	128935
891	1054957	127730
892	1055949	126524
893	1056893	125314
894	1057824	124102
895	1058768	122892
896	1059714	121684
897	1060673	120477
898	1061605	119268
899	1062561	118062
900	1063484	116853
901	1064417	115646
902	1065364	114441
903	1066315	113237
904	1067303	112037
905	1068254	110834
906	1069229	109634
907	1070239	108438
908	1071192	107237
909	1072195	106041
910	1073162	104842
911	1074095	103640
912	1075066	102443
913	1076006	101243
914	1076950	100044
915	1077889	98845
916	1078839	97648
917	1079782	96451
918	1080729	95254
919	1081652	94056
920	1082607	92862
921	1083581	91669
922	1084522	90474
923	1085497	89283
924	1086444	88090
925	1087379	86896
926	1088299	85702
927	1089224	84508
928	1090188	83319
929	1091119	82127
930	1092074	80937
931	1093029	79748
932	1093950	78558
933	1094896	77369
934	1095825	76180
935	1096792	74994
936	1097750	73808
937	1098701	72622
938	1099655	71436
939	1100613	70251
940	1101568	69067
941	1102544	67884
942	1103508	66702
943	1104445	65517
944	1105453	64338
945	1106429	63157
946	1107364	61975
947	1108323	60794
948	1109268	59612
949	1110203	58431
950	1111169	57252
951	1112141	56074
952	1113091	54895
953	1114038	53716
954	1114968	52537
955	1115915	51360
956	1116890	50184
957	1117840	49007
958	1118792	47831
959	1119720	46655
960	1120661	45479
961	1121612	44304
962	1122590	43131
963	1123525	41957
964	1124462	40783
965	1125388	39609
966	1126320	38437
967	1127282	37265
968	1128214	36093
969	1129176	34922
970	1130197	33754
971	1131165	32585
972	1132130	31415
973	1133145	30248
974	1134105	29079
975	1135079	27911
976	1136038	26743
977	1137040	25577
978	1137994	24410
979	1138952	23243
980	1139892	22077
981	1140852	20911
982	1141821	19746
983	1142821	18582
984	1143764	17417
985	1144713	16253
986	1145764	15091
987	1146979	13930
988	1148074	12769
989	1149055	11606
990	1150030	10444
991	1150967	9281
992	1151898	8120
993	1152875	6959
994	1153811	5798
995	1154732	4637
996	1155677	3477
997	1156666	2317
998	1157627	1158
999	1158569	0
